Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
1,1,0,0,2333,1516,95,360,2,1
1,1,3,0,3036,2504,158,360,0,0
1,1,2,0,3073,8106,200,360,2,1
1,1,0,1,2600,3500,115,0,2,1
1,1,1,0,5955,5625,315,360,2,1
1,1,0,1,9560,0,191,360,0,1
1,0,0,0,1442,0,35,360,2,0
0,0,2,1,3750,2083,120,360,0,1
1,1,0,0,2275,2067,0,360,2,1
1,0,0,0,3748,1668,110,360,0,1
1,0,0,0,1800,1213,47,360,2,1
1,1,1,0,5649,0,44,360,2,1
0,0,0,0,4000,2275,144,360,0,1
0,1,0,0,1928,1644,100,360,0,1
1,1,2,0,4616,0,134,360,2,0
0,1,1,1,11500,0,286,360,2,0
1,1,0,0,2500,3796,120,360,2,1
1,1,1,0,4945,0,0,360,1,0
0,0,0,0,4166,0,116,360,0,0
1,1,0,0,5726,4595,258,360,0,0
1,0,0,0,3200,2254,126,180,2,0
0,0,0,0,4300,0,136,360,0,0
1,0,0,0,3750,0,113,480,2,0
1,0,0,0,3750,4750,176,360,2,0
1,1,2,0,3333,2000,99,360,0,1
1,1,0,0,2500,2118,104,360,0,1
1,1,2,0,3273,1820,81,360,2,1
1,0,0,0,4133,0,122,360,0,1
1,1,0,0,1759,3541,131,360,0,1
1,1,3,0,13650,0,0,360,2,1
1,1,0,0,4652,3583,0,360,0,1
1,1,2,0,11417,1126,225,360,2,1
0,1,0,1,2929,2333,139,360,0,1
0,1,0,0,3167,2283,154,360,0,1
1,1,2,0,2957,0,81,360,0,1
1,1,1,1,10513,3850,160,180,2,0
1,1,0,0,6080,2569,182,360,1,0
1,0,0,1,20166,0,650,480,2,1
1,0,0,0,2014,1929,74,360,2,1
1,1,3,0,4000,7750,290,360,0,0
1,1,2,0,4200,1430,129,360,1,0
1,1,0,0,2698,2034,122,360,0,1
1,0,0,0,6277,0,118,360,1,0
1,0,0,0,3254,0,50,360,2,1
1,1,1,0,3089,1280,121,360,0,0
1,1,0,0,3707,3166,182,0,1,1
1,1,0,0,2439,3333,129,360,1,1
1,1,2,0,8000,0,200,360,0,1
1,1,0,1,4344,736,87,360,0,0
1,1,1,0,33846,0,260,360,0,0
1,1,0,0,2383,2138,58,360,1,1
1,0,0,0,3858,0,76,360,0,1
1,0,0,1,11000,0,83,360,2,0
0,0,0,0,4408,0,120,360,0,1
1,1,3,0,3430,1250,128,360,0,0
1,1,1,1,7787,0,240,360,2,1
1,1,2,0,4009,1717,116,360,0,1
1,1,0,0,6250,0,128,360,0,1
1,1,3,1,4735,0,138,360,2,0
1,0,0,0,3189,2598,120,0,1,1
0,0,0,1,3463,0,122,360,2,1
1,1,2,1,6250,1300,108,360,1,1
1,0,0,1,6050,4333,120,180,2,0
1,0,0,0,6045,0,115,360,1,0
0,0,0,0,7200,0,120,360,1,1
1,0,0,0,4095,3447,151,360,1,1
0,0,1,0,2876,1560,90,360,2,1
0,0,0,0,3237,0,30,360,2,1
1,1,0,0,2620,2223,150,360,0,1
1,1,1,0,2750,1842,115,360,0,1
1,1,0,0,3103,1300,80,360,2,1
1,1,2,0,2301,985.7999878,78,180,2,1
0,0,0,0,4124,0,115,360,0,1
1,1,0,0,3075,2416,139,360,1,1
1,1,1,0,6875,0,200,360,0,1
0,1,1,0,4666,0,135,360,2,1
1,0,0,0,4000,2500,140,360,1,1
1,0,0,0,20233,0,480,360,1,0
0,0,0,0,2507,0,56,360,1,1
1,1,0,0,2058,2134,88,360,2,1
0,0,1,0,3541,0,112,360,0,1
1,1,1,1,10000,0,155,360,1,0
1,1,0,0,2400,2167,115,360,0,1
1,1,3,0,4342,189,124,360,0,1
0,1,0,0,4333,2451,110,360,2,0
0,0,0,0,2500,0,67,360,2,1
1,0,1,0,4384,1793,117,360,2,1
1,0,3,0,2833,0,71,360,2,1
